data,acquired_by_app_immuni,acquired_by_app_immuni_total,acquired_by_web_ts,acquired_by_web_ts_total,acquired_by_web_id,acquired_by_web_id_total,acquired_by_web_spid,acquired_by_web_spid_total,acquired_by_operator_ts,acquired_by_operator_ts_total,acquired_by_operator_id,acquired_by_operator_id_total,acquired_by_app_io,acquired_by_app_io_total,acquired_all,acquired_all_total
2021-10-21,69047,9283116,260861,39542838,7339,340040,361689,23849359,47113,8716872,28066,1006729,938400,93554897,1712515,176293851
2021-10-20,83087,9214069,321508,39281977,8018,332701,475265,23487670,56673,8669759,30396,978663,1029252,92616497,2004199,174581336
2021-10-19,75419,9130982,287856,38960469,7091,324683,377614,23012405,53498,8613086,24312,948267,1012284,91587245,1838074,172577137
2021-10-18,97594,9055563,391795,38672613,8887,317592,596222,22634791,69450,8559588,34340,923955,1150258,90574961,2348546,170739063
2021-10-17,77726,8957969,237616,38280818,3184,308705,131667,22038569,40686,8490138,10096,889615,755176,89424703,1256151,168390517
2021-10-16,90045,8880243,282349,38043202,5602,305521,387524,21906902,49778,8449452,24960,879519,1013634,88669527,1853892,167134366
2021-10-15,128592,8790198,453189,37760853,9032,299919,514654,21519378,87554,8399674,29108,854559,1628749,87655893,2850878,165280474
2021-10-14,110932,8661606,421624,37307664,6982,290887,497913,21004724,93195,8312120,23649,825451,1208497,86027144,2362792,162429596
2021-10-13,68795,8550674,262173,36886040,5174,283905,279735,20506811,62033,8218925,14419,801802,871791,84818647,1564120,160066804
2021-10-12,54895,8481879,210268,36623867,4386,278731,206686,20227076,50624,8156892,12175,787383,740248,83946856,1279282,158502684
2021-10-11,50495,8426984,198077,36413599,4584,274345,242901,20020390,46815,8106268,15849,775208,655201,83206608,1213922,157223402
2021-10-10,55039,8376489,158898,36215522,1827,269761,43597,19777489,29585,8059453,5256,759359,594702,82551407,888904,156009480
2021-10-09,62957,8321450,201625,36056624,3994,267934,221235,19733892,35847,8029868,17126,754103,735510,81956705,1278294,155120576
2021-10-08,51454,8258493,195224,35854999,5187,263940,228769,19512657,40634,7994021,17739,736977,689903,81221195,1228910,153842282
2021-10-07,46034,8207039,175068,35659775,4408,258753,177366,19283888,37724,7953387,12795,719238,623502,80531292,1076897,152613372
2021-10-06,49897,8161005,195462,35484707,4130,254345,184574,19106522,41902,7915663,12201,706443,642552,79907790,1130718,151536475
2021-10-05,45195,8111108,163525,35289245,4133,250215,167139,18921948,37539,7873761,11093,694242,588577,79265238,1017201,150405757
